X Gaze Data, Y Gaze Data, Time 
847,736,857428
848,735,857444
849,737,857459
849,737,857475
846,740,857491
847,739,857506
853,735,857522
853,735,857537
854,728,857553
854,726,857569
853,726,857584
851,726,857600
845,727,857616
844,727,857631
842,728,857647
840,731,857663
837,730,857678
832,731,857694
826,731,857709
825,732,857725
824,734,857741
821,736,857756
821,736,857772
819,736,857788
818,736,857803
816,738,857819
810,739,857834
808,740,857850
801,740,857866
800,740,857881
798,741,857897
792,741,857913
789,741,857928
787,738,857944
785,737,857959
784,737,857975
782,737,857991
775,736,858006
773,734,858022
768,733,858038
765,733,858053
763,733,858069
762,733,858084
760,733,858100
758,734,858116
758,734,858131
752,740,858147
750,742,858163
746,736,858178
743,735,858194
741,735,858209
738,732,858225
735,729,858241
732,728,858256
731,728,858272
714,730,858288
714,729,858303
714,727,858319
708,722,858334
707,722,858350
708,729,858366
709,732,858381
707,732,858397
705,733,858413
704,735,858428
695,733,858444
692,732,858459
688,731,858475
683,732,858491
681,732,858506
678,734,858522
676,734,858538
675,733,858553
673,733,858569
672,732,858584
666,730,858600
666,730,858616
660,727,858631
655,728,858647
654,728,858663
648,731,858678
646,731,858694
644,730,858709
641,727,858725
639,727,858741
637,727,858756
635,726,858772
633,724,858788
627,724,858803
626,725,858819
623,726,858834
618,725,858850
612,727,858866
612,728,858881
611,727,858897
607,724,858913
606,724,858928
604,724,858944
596,722,858959
592,720,858975
588,721,858991
586,723,859006
584,723,859022
584,724,859038
577,726,859053
577,727,859069
576,727,859084
573,726,859100
572,726,859116
566,724,859131
565,723,859147
561,723,859163
558,722,859178
557,721,859194
553,719,859210
552,719,859225
550,719,859241
545,719,859256
543,721,859272
541,722,859288
539,724,859303
536,727,859319
535,728,859335
534,730,859350
531,729,859366
530,728,859381
528,727,859397
526,725,859413
526,725,859428
524,725,859444
523,725,859460
520,724,859475
514,724,859491
513,724,859506
512,717,859522
511,717,859538
508,716,859553
508,716,859569
508,716,859585
503,716,859600
500,717,859616
497,719,859631
493,720,859647
491,720,859663
489,719,859678
486,718,859694
484,719,859710
484,719,859725
484,720,859741
480,715,859756
478,713,859772
475,709,859788
474,709,859803
472,709,859819
460,711,859835
457,712,859850
454,713,859866
452,715,859881
449,716,859893
448,716,859904
448,716,859920
445,713,859935
441,709,859951
433,704,859967
430,703,859982
425,703,859998
426,702,860013
426,702,860029
417,701,860045
415,701,860060
411,702,860076
414,707,860092
413,706,860107
412,705,860123
411,707,860138
407,706,860154
405,705,860170
404,704,860185
397,703,860201
397,703,860216
394,703,860217
390,703,860232
387,704,860248
383,708,860263
379,713,860279
380,716,860295
380,717,860310
376,714,860326
374,716,860341
371,716,860357
369,716,860373
365,714,860388
364,715,860404
360,715,860420
355,712,860435
353,711,860451
353,712,860466
351,712,860482
347,713,860498
347,713,860513
328,718,860529
325,718,860545
324,719,860560
320,719,860576
318,718,860592
316,718,860607
311,717,860623
310,716,860638
307,717,860654
307,719,860670
306,719,860685
303,720,860701
301,720,860717
297,721,860732
295,722,860748
294,723,860763
291,722,860779
288,722,860795
283,721,860810
281,721,860826
278,719,860842
277,718,860857
277,718,860873
273,715,860888
269,713,860904
269,714,860920
267,713,860935
266,713,860951
262,714,860967
261,714,860982
259,712,860998
257,713,861013
254,714,861029
247,713,861045
243,714,861060
242,715,861076
241,715,861092
239,715,861107
234,715,861123
232,716,861138
224,719,861154
220,719,861170
215,718,861185
214,717,861201
212,716,861217
212,715,861232
212,716,861248
210,715,861263
205,716,861279
201,719,861295
197,719,861302
195,719,861318
193,718,861334
193,717,861350
188,715,861365
187,715,861381
190,713,861397
190,714,861412
189,713,861428
188,715,861443
187,717,861459
182,718,861475
181,718,861490
176,720,861506
175,720,861521
175,719,861537
170,720,861553
167,720,861568
167,721,861584
164,720,861600
164,720,861615
162,719,861631
161,718,861647
161,718,861662
155,718,861678
112,720,861693
104,719,861709
104,719,861725
102,719,861740
98,718,861756
96,720,861772
96,721,861787
94,722,861803
94,718,861818
93,717,861834
93,716,861850
91,713,861865
89,712,861881
89,711,861897
91,711,861912
91,711,861928
91,712,861943
90,713,861959
95,712,861975
97,713,861990
97,713,862006
95,713,862022
97,714,862037
98,715,862053
99,715,862068
103,716,862084
103,716,862100
103,715,862115
102,714,862131
99,715,862147
92,718,862162
86,719,862178
84,717,862193
85,715,862209
88,716,862225
90,718,862240
91,718,862256
92,717,862272
93,716,862287
92,716,862303
93,715,862318
94,715,862334
98,713,862350
123,693,862365
127,692,862381
129,692,862397
130,690,862412
133,687,862428
135,683,862443
134,684,862459
129,674,862475
129,674,862490
125,668,862506
162,676,862522
165,677,862537
170,678,862553
174,679,862568
177,677,862569
178,676,862584
181,673,862600
179,673,862615
173,675,862631
171,674,862647
172,671,862662
174,671,862678
174,671,862694
179,671,862709
180,671,862725
188,667,862740
189,667,862756
190,665,862772
198,660,862787
197,661,862803
201,660,862818
202,660,862834
204,659,862850
208,660,862865
212,662,862881
213,662,862897
215,662,862912
221,653,862928
221,652,862944
222,650,862959
223,647,862975
224,648,862990
229,649,863006
237,647,863022
239,647,863037
243,644,863053
243,644,863068
248,642,863084
249,642,863100
250,640,863115
250,639,863131
249,637,863147
252,636,863162
260,631,863178
262,629,863194
265,626,863209
266,625,863225
270,623,863240
271,622,863256
276,619,863272
279,617,863287
280,614,863303
284,610,863318
288,611,863334
286,610,863350
292,612,863365
292,611,863381
306,605,863397
307,606,863412
311,612,863428
311,613,863444
312,614,863459
314,613,863475
319,613,863490
321,614,863506
322,613,863522
327,612,863537
332,604,863553
335,601,863568
335,599,863569
335,600,863584
336,597,863600
336,596,863615
337,595,863631
341,591,863647
345,585,863662
346,586,863678
351,587,863694
353,586,863709
357,584,863725
359,584,863740
360,585,863756
363,585,863772
369,582,863787
371,581,863803
375,578,863818
375,577,863834
381,575,863850
380,576,863865
382,576,863881
391,578,863897
392,578,863912
392,575,863928
391,573,863944
392,571,863959
402,568,863975
403,567,863990
405,566,864006
